,gender,age,city,state,order_id,payment,order_date,delivery_date,price_per_unit,Sales_Quantity,total_price,product_type,product_name,size,colour,price,Products_Quantity,month,day
0,Female,30,Johnstonhaven,Northern Territory,455,24550,2021-04-04,2021-04-06,106,3,318,Shirt,Chambray,S,red,105,72,April,Sunday
1,Female,30,Johnstonhaven,Northern Territory,455,24550,2021-04-04,2021-04-06,91,2,182,Jacket,Pullover,L,yellow,114,43,April,Sunday
2,Female,30,Johnstonhaven,Northern Territory,670,10246,2021-03-06,2021-04-01,98,2,196,Jacket,Leather,XS,red,113,67,March,Saturday
3,Female,30,Johnstonhaven,Northern Territory,670,10246,2021-03-06,2021-04-01,91,2,182,Jacket,Pullover,M,blue,114,44,March,Saturday
4,Female,30,Johnstonhaven,Northern Territory,670,10246,2021-03-06,2021-04-01,98,1,98,Shirt,Camp Collared,XL,red,112,79,March,Saturday
5,Female,30,Johnstonhaven,Northern Territory,670,10246,2021-03-06,2021-04-01,91,3,273,Jacket,Pullover,XL,green,114,65,March,Saturday
6,Female,30,Johnstonhaven,Northern Territory,729,35593,2021-02-18,2021-03-01,98,3,294,Shirt,Camp Collared,M,blue,112,65,February,Thursday
7,Female,30,Johnstonhaven,Northern Territory,729,35593,2021-02-18,2021-03-01,98,1,98,Jacket,Leather,L,violet,113,78,February,Thursday
8,Bigender,76,Masonfurt,Queensland,465,48935,2021-05-21,2021-05-23,115,3,345,Trousers,Cropped,L,violet,99,40,May,Friday
9,Bigender,76,Masonfurt,Queensland,465,48935,2021-05-21,2021-05-23,112,2,224,Trousers,Tracksuit Bottoms,XL,violet,91,60,May,Friday
10,Bigender,76,Masonfurt,Queensland,465,48935,2021-05-21,2021-05-23,117,1,117,Jacket,Shearling,S,orange,95,53,May,Friday
11,Bigender,76,Masonfurt,Queensland,465,48935,2021-05-21,2021-05-23,119,1,119,Shirt,Casual Slim Fit,L,blue,113,75,May,Friday
12,Bigender,76,Masonfurt,Queensland,465,48935,2021-05-21,2021-05-23,106,2,212,Trousers,Wool,XS,violet,111,80,May,Friday
13,Bigender,70,Joelburgh,Western Australia,595,45626,2021-03-09,2021-03-29,90,3,270,Trousers,Relaxed Leg,L,orange,95,78,March,Tuesday
14,Agender,39,Georgeland,Northern Territory,560,41952,2021-05-28,2021-06-05,91,2,182,Shirt,Linen,XL,red,116,47,May,Friday
15,Agender,39,Georgeland,Northern Territory,560,41952,2021-05-28,2021-06-05,100,2,200,Jacket,Bomber,XS,violet,90,75,May,Friday
16,Bigender,78,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,91,1,91,Jacket,Pullover,XS,red,114,54,June,Saturday
17,Bigender,78,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,102,2,204,Jacket,Windbreaker,S,indigo,109,62,June,Saturday
18,Bigender,78,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,106,2,212,Trousers,Wool,XL,orange,111,56,June,Saturday
19,Bigender,78,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,119,2,238,Shirt,Casual Slim Fit,M,blue,113,61,June,Saturday
20,Bigender,78,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,113,2,226,Trousers,Chinos,XS,red,100,69,June,Saturday
21,Bigender,78,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,98,2,196,Shirt,Camp Collared,XS,yellow,112,55,June,Saturday
22,Bigender,78,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,93,3,279,Jacket,Coach,L,blue,115,80,June,Saturday
23,Bigender,78,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,105,1,105,Trousers,Pleated,XL,red,90,58,June,Saturday
24,Male,42,Maddisonmouth,Queensland,398,31626,2021-09-28,2021-10-13,102,1,102,Jacket,Windbreaker,L,yellow,109,70,September,Tuesday
25,Male,42,Maddisonmouth,Queensland,398,31626,2021-09-28,2021-10-13,118,1,118,Jacket,Puffer,M,green,110,72,September,Tuesday
26,Male,42,Maddisonmouth,Queensland,398,31626,2021-09-28,2021-10-13,112,1,112,Jacket,Cardigan,S,green,118,62,September,Tuesday
27,Genderfluid,34,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,109,3,327,Jacket,Peacoat,L,blue,102,64,August,Tuesday
28,Genderfluid,34,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,99,2,198,Trousers,High-Waisted,L,red,98,52,August,Tuesday
29,Genderfluid,34,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,97,2,194,Trousers,Slim-Fit,XL,green,119,67,August,Tuesday
30,Genderfluid,34,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,92,2,184,Shirt,Denim,XS,violet,115,73,August,Tuesday
31,Genderfluid,34,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,113,3,339,Trousers,Chinos,M,red,100,54,August,Tuesday
32,Genderfluid,34,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,106,1,106,Trousers,Wool,M,yellow,111,43,August,Tuesday
33,Genderfluid,34,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,100,3,300,Jacket,Bomber,XL,red,90,62,April,Wednesday
34,Genderfluid,34,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,117,1,117,Jacket,Shearling,M,violet,95,74,April,Wednesday
35,Genderfluid,34,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,98,1,98,Jacket,Leather,S,yellow,113,41,April,Wednesday
36,Genderfluid,34,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,109,2,218,Jacket,Peacoat,S,blue,102,50,April,Wednesday
37,Genderfluid,34,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,96,3,288,Shirt,Oxford Cloth,XL,blue,114,60,April,Wednesday
38,Genderfluid,34,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,106,1,106,Shirt,Chambray,XL,violet,105,54,April,Wednesday
39,Male,75,New Kai,Victoria,885,27561,2021-10-18,2021-11-13,102,2,204,Jacket,Windbreaker,S,blue,109,41,October,Monday
40,Male,75,New Kai,Victoria,885,27561,2021-10-18,2021-11-13,96,3,288,Trousers,Drawstring,XS,blue,104,45,October,Monday
41,Male,75,New Kai,Victoria,885,27561,2021-10-18,2021-11-13,105,2,210,Trousers,Pleated,M,violet,90,45,October,Monday
42,Male,75,New Kai,Victoria,885,27561,2021-10-18,2021-11-13,106,3,318,Trousers,Wool,M,violet,111,51,October,Monday
43,Male,75,New Kai,Victoria,885,27561,2021-10-18,2021-11-13,118,2,236,Shirt,Flannel,S,red,96,59,October,Monday
